what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066074746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539066343184
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539066349983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539066350181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066925862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066932116
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1539066940440
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1539066948343
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539066948358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066948453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066950672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066960211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066960252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066960264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066960302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066960320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066975675
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066975707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066975734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066975815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066981594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066981599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066981619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066981648
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066987539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066987561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539066987607
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539067041613
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539067041823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539067041981
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539067042150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539067042401
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539067042687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539067042955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539067052849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539067105546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539067192373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539067198115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539067346350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539067379788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539068008735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539068062523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539068062690
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539068167387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539069542610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539069585958
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539069607155
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539069617767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1539069665374
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539069676111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539076974937
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1539076978114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539076983478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539077079865
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539077084837
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539077084933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077094039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077102537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103063
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103273
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103333
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103363
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103394
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103543
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103573
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103604
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103663
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103693
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103723
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103904
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077103993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1539077104024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539077117012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539077620789
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1539077622066
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539077622376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539077736042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539078064905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539078124928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539078203330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539078235144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539078235419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539078254833
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539078543098
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1539078544911
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1539078545904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539078557450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1539078559663
